NM_UE;NM_CARGO;NM_CANDIDATO;NR_CANDIDATO;DS_DETALHE_SITUACAO_CAND;SG_PARTIDO;NM_PARTIDO;DS_OCUPACAO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_SIT_TOT_TURNO
CURITIBA;PREFEITO;BRUNO CESAR DESCHAMPS MEIRINHO;50;DEFERIDO;PSOL;PARTIDO SOCIALISMO E LIBERDADE;OUTROS;10/05/1982 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);NÃO ELEITO
CURITIBA;PREFEITO;CARLOS ALBERTO RICHA;45;DEFERIDO;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;ENGENHEIRO;29/07/1965 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);ELEITO
CURITIBA;PREFEITO;CARLOS AUGUSTO MOREIRA JUNIOR;15;DEFERIDO;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MÉDICO;30/12/1958 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;PREFEITO;FABIO DE SOUZA CAMARGO;14;DEFERIDO;PTB;PARTIDO TRABALHISTA BRASILEIRO;DEPUTADO;17/04/1973 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;PREFEITO;GLEISI HELENA HOFFMANN;13;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;ADVOGADO;06/09/1965 00:00;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);NÃO ELEITO
CURITIBA;PREFEITO;LAURO ANTONIO FERNANDES RODRIGUES;70;DEFERIDO;PT do B;PARTIDO TRABALHISTA DO BRASIL;EMPRESÁRIO;23/04/1968 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;PREFEITO;MAURICIO PAULO SILVA FURTADO;43;DEFERIDO;PV;PARTIDO VERDE;SERVIDOR PÚBLICO FEDERAL;25/01/1949 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;PREFEITO;RICARDO CRACHINESKI GOMYDE;65;DEFERIDO;PC do B;PARTIDO COMUNISTA DO BRASIL;OCUPANTE DE CARGO EM COMISSÃO;22/05/1970 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;VICE-PREFEITO;ANTONIO BORGES DOS REIS;13;DEFERIDO;PSC;PARTIDO SOCIAL CRISTÃO;ENGENHEIRO;21/04/1958 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);#NULO#
CURITIBA;VICE-PREFEITO;CLEITON KIELSE BORDINI CRISOSTOMO;15;DEFERIDO;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;ADVOGADO;08/05/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);#NULO#
CURITIBA;VICE-PREFEITO;CLICEU ANTUNES PEREIRA;43;DEFERIDO;PV;PARTIDO VERDE;PROFESSOR DE ENSINO MÉDIO;27/11/1947 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);#NULO#
CURITIBA;VICE-PREFEITO;ELISIO EDUARDO MARQUES;50;DEFERIDO;PCB;PARTIDO COMUNISTA BRASILEIRO;MAGISTRADO;19/11/1945 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);#NULO#
CURITIBA;VICE-PREFEITO;JANDIR CZARNECKI MISERKOWSKI;70;DEFERIDO;PT do B;PARTIDO TRABALHISTA DO BRASIL;PUBLICITÁRIO;26/10/1941 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);#NULO#
CURITIBA;VICE-PREFEITO;LUCIANO DUCCI;45;DEFERIDO;PSB;PARTIDO SOCIALISTA BRASILEIRO;MÉDICO;23/03/1955 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);#NULO#
CURITIBA;VICE-PREFEITO;MARIO ANTONIO FERRARI;65;DEFERIDO;PC do B;PARTIDO COMUNISTA DO BRASIL;MÉDICO;07/08/1954 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);#NULO#
CURITIBA;VICE-PREFEITO;VERA HELENA TEIXEIRA;14;DEFERIDO;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;ARQUITETO;12/08/1961 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);#NULO#
CURITIBA;VEREADOR;ABIGAIL R. SILVA;12002;DEFERIDO;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PROFESSOR DE ENSINO MÉDIO;27/08/1933 00:00;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);SUPLENTE
CURITIBA;VEREADOR;ABRÃO THOMAS DA SILVA;27888;DEFERIDO;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;OUTROS;29/03/1962 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;VEREADOR;ACYR HAFEZ JOSÉ FILHO;45400;DEFERIDO;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;EMPRESÁRIO;23/10/1970 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADALBERTO IDELBRANDO KOVALIK TRZASKACZ;13800;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;CONTADOR;12/04/1971 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADAO MATOZO;17003;RENÚNCIA;PSL;PARTIDO SOCIAL LIBERAL;COMERCIANTE;22/03/1969 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);#NULO#
CURITIBA;VEREADOR;ADAO RODRIGUES VIEIRA;40609;DEFERIDO;PSB;PARTIDO SOCIALISTA BRASILEIRO;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;02/11/1946 00:00;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADEL LUIZ YOUSSEF;27789;DEFERIDO;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;OUTROS;26/12/1960 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;VEREADOR;ADELCIO GOMES;25998;DEFERIDO;DEM;DEMOCRATAS;COMERCIANTE;07/02/1962 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADELCIO LUIZ MARQUES;20333;DEFERIDO;PSC;PARTIDO SOCIAL CRISTÃO;ADMINISTRADOR;30/11/1959 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;ADELINA DIAS DE ARAUJO AVI;43077;DEFERIDO;PV;PARTIDO VERDE;ADVOGADO;13/11/1961 00:00;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);SUPLENTE
CURITIBA;VEREADOR;ADEMILSON EDSON DOS SANTOS;65065;DEFERIDO;PC do B;PARTIDO COMUNISTA DO BRASIL;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;31/12/1970 00:00;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);NÃO ELEITO
CURITIBA;VEREADOR;ADEMIR DE OLIVEIRA BUENO;45845;DEFERIDO;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SERVIDOR PÚBLICO ESTADUAL;27/11/1958 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADEMIR VOLPATO GESSER;13013;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;DIRETOR DE ESTABELECIMENTO DE ENSINO;19/05/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADENIVAL ALVES GOMES;13611;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;VEREADOR;14/11/1952 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADENOR MANOEL DOS REIS;13200;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;CARPINTEIRO, MARCENEIRO E ASSEMELHADOS;23/10/1958 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADILSON ALVES LEANDRO;20020;DEFERIDO;PSC;PARTIDO SOCIAL CRISTÃO;OUTROS;31/08/1968 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADILSON SILVA DOS SANTOS;20613;DEFERIDO;PSC;PARTIDO SOCIAL CRISTÃO;PROFESSOR DE ENSINO SUPERIOR;24/08/1963 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ADIRCE NAZARÉ DA SILVA;14222;RENÚNCIA;PTB;PARTIDO TRABALHISTA BRASILEIRO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);18/06/1946 00:00;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);#NULO#
CURITIBA;VEREADOR;ADSON FRANCO CAMPELO;15610;DEFERIDO;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;COMERCIANTE;15/01/1956 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;AFONSO MAZUR;13456;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;12/07/1950 00:00;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);SUPLENTE
CURITIBA;VEREADOR;AFONSO SOUZA SOLEK;11040;FALECIDO;PP;PARTIDO PROGRESSISTA;OUTROS;14/09/1940 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO
CURITIBA;VEREADOR;AGENOR DA SILVA PEREIRA;17970;DEFERIDO;PSL;PARTIDO SOCIAL LIBERAL;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;21/11/1974 00:00;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;AGOSTINHO CREPLIVE FILHO;25300;DEFERIDO;DEM;DEMOCRATAS;OUTROS;19/02/1958 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);SUPLENTE
CURITIBA;VEREADOR;AGOSTINHO LOPES SANTANA;23444;DEFERIDO;PPS;PARTIDO POPULAR SOCIALISTA;COMERCIANTE;17/12/1958 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;AIRTON MOREIRA DINIZ;22630;INDEFERIDO;PR;PARTIDO DA REPÚBLICA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;14/07/1955 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);#NULO#
CURITIBA;VEREADOR;AIRTON SPECK;43188;DEFERIDO;PV;PARTIDO VERDE;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);27/04/1953 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);SUPLENTE
CURITIBA;VEREADOR;ALADIM LUCIANO;43333;DEFERIDO;PV;PARTIDO VERDE;VEREADOR;10/10/1946 00:00;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);ELEITO
CURITIBA;VEREADOR;ALCEU BAPTISTA DE CAMPOS;31333;DEFERIDO;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;SERVIDOR PÚBLICO MUNICIPAL;14/02/1965 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALCIMAR CICERO ARRUDA;23007;DEFERIDO;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;14/02/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALCIONE CARATCHUK;17025;DEFERIDO;PSL;PARTIDO SOCIAL LIBERAL;OUTROS;25/05/1971 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALDEMIR JOAO MANFRON;11234;DEFERIDO;PP;PARTIDO PROGRESSISTA;VEREADOR;23/07/1952 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);ELEITO
CURITIBA;VEREADOR;ALEIDA BITTENCOURT MARTINS;10610;DEFERIDO;PRB;PARTIDO REPUBLICANO BRASILEIRO;ADVOGADO;19/08/1954 00:00;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);SUPLENTE
CURITIBA;VEREADOR;ALESSANDRA SCHLEDER;23203;DEFERIDO;PPS;PARTIDO POPULAR SOCIALISTA;PROFESSOR DE ENSINO MÉDIO;20/04/1976 00:00;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;SUPLENTE
CURITIBA;VEREADOR;ALESSANDRO ADELINO OTTO;13513;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS;03/09/1974 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;ALEX GOMES DE OLIVEIRA;17555;DEFERIDO;PSL;PARTIDO SOCIAL LIBERAL;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;15/09/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALEX SANDRO PRESTES;10987;DEFERIDO;PRB;PARTIDO REPUBLICANO BRASILEIRO;OUTROS;15/11/1981 00:00;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;ALEX WINGERT CORREA;23033;DEFERIDO;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;06/07/1974 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALEXANDRE JOSÉ ALBUQUERQUE BAHL;20100;RENÚNCIA;PSC;PARTIDO SOCIAL CRISTÃO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;05/02/1981 00:00;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);#NULO#
CURITIBA;VEREADOR;ALEXANDRE MATIAS GARDOLINSKI;28008;RENÚNCIA;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;ASSISTENTE SOCIAL;21/09/1971 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);#NULO#
CURITIBA;VEREADOR;ALEXANDRE RIBEIRO DOMINGUES;10100;DEFERIDO;PRB;PARTIDO REPUBLICANO BRASILEIRO;OUTROS;12/02/1983 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);SUPLENTE
CURITIBA;VEREADOR;ALFEO LUIZ CAPPELLARI;13511;DEFERIDO;PT;PARTIDO DOS TRABALHADORES;PROFESSOR DE ENSINO MÉDIO;22/04/1958 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALFREDO GONEVINO COSTA FILHO;14141;DEFERIDO;PTB;PARTIDO TRABALHISTA BRASILEIRO;ADVOGADO;29/05/1956 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);NÃO ELEITO
CURITIBA;VEREADOR;ALFREDO HELITON DE LEMOS;20200;DEFERIDO;PSC;PARTIDO SOCIAL CRISTÃO;MÉDICO;13/02/1942 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALGACI ORMARIO TULIO;15140;DEFERIDO;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;JORNALISTA E REDATOR;08/12/1940 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);ELEITO
CURITIBA;VEREADOR;ALGACIR MILTON OZIR RIBEIRO;17190;DEFERIDO;PSL;PARTIDO SOCIAL LIBERAL;SERVIDOR PÚBLICO ESTADUAL;09/12/1968 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALICINO SARAIVA;40656;DEFERIDO;PSB;PARTIDO SOCIALISTA BRASILEIRO;OUTROS;25/06/1957 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALISTELIA GONÇALVES DOS SANTOS;15255;DEFERIDO;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;PROFESSOR DE ENSINO FUNDAMENTAL;25/09/1964 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALTAIR DEZONET ATHAYDE;23315;DEFERIDO;PPS;PARTIDO POPULAR SOCIALISTA;COMERCIANTE;22/07/1957 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALTAIR RODRIGUES;28320;RENÚNCIA;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;EMPRESÁRIO;28/07/1953 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);#NULO#
CURITIBA;VEREADOR;ALTAMIR MARTINS ALVES;33221;DEFERIDO;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;08/03/1958 00:00;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);NÃO ELEITO
CURITIBA;VEREADOR;ALTEMIR GILSON MARINHO;25880;DEFERIDO;DEM;DEMOCRATAS;ADMINISTRADOR;18/07/1961 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);SUPLENTE
CURITIBA;VEREADOR;ALUS NATAL ALESSI;11211;DEFERIDO;PP;PARTIDO PROGRESSISTA;ADVOGADO;16/12/1948 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
CURITIBA;VEREADOR;ALVARO JOSÉ BATISTA;12292;DEFERIDO;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES;07/09/1957 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);SUPLENTE
