CODIGO_CARGO;NUMERO_CAND;NOME_CANDIDATO;DESCRICAO_CARGO;DESC_SIT_CAND_SUPERIOR;DESC_SIT_CANDIDATO;DESC_SIT_CAND_TOT;NUMERO_PARTIDO;SIGLA_PARTIDO;NOME_PARTIDO;NOME_COLIGACAO;TOTAL_VOTOS
11;45;CARLOS ALBERTO RICHA;PREFEITO;APTO;DEFERIDO;ELEITO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;CURITIBA - O TRABALHO CONTINUA;69560
11;50;BRUNO CESAR DESCHAMPS MEIRINHO;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FRENTE DE ESQUERDA CURITIBA;525
11;14;FABIO DE SOUZA CAMARGO;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;UMA SÓ CURITIBA;480
11;13;GLEISI HELENA HOFFMANN;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;13;PT;PARTIDO DOS TRABALHADORES;CURITIBA PARA TODOS;15894
11;70;LAURO ANTONIO FERNANDES RODRIGUES;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;#NULO#;118
11;43;MAURICIO PAULO SILVA FURTADO;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;43;PV;PARTIDO VERDE;#NULO#;1056
11;15;CARLOS AUGUSTO MOREIRA JUNIOR;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NULO#;2296
11;65;RICARDO CRACHINESKI GOMYDE;PREFEITO;APTO;DEFERIDO;NÃO ELEITO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;#NULO#;972
13;43030;AMILTON ANTUNES DE OLIVEIRA;VEREADOR;APTO;DEFERIDO;SUPLENTE;43;PV;PARTIDO VERDE;#NULO#;8
13;27888;ABRÃO THOMAS DA SILVA;VEREADOR;APTO;DEFERIDO;NÃO ELEITO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;#NULO#;2
13;45400;ACYR HAFEZ JOSÉ FILHO;VEREADOR;APTO;DEFERIDO;SUPLENTE;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB PR;103
13;13800;ADALBERTO IDELBRANDO KOVALIK TRZASKACZ;VEREADOR;APTO;DEFERIDO;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;CIDADE PARA TODOS;16
13;20333;ADELCIO LUIZ MARQUES;VEREADOR;APTO;DEFERIDO;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;#NULO#;13
13;43077;ADELINA DIAS DE ARAUJO AVI;VEREADOR;APTO;DEFERIDO;SUPLENTE;43;PV;PARTIDO VERDE;#NULO#;10
13;65065;ADEMILSON EDSON DOS SANTOS;VEREADOR;APTO;DEFERIDO;NÃO ELEITO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;#NULO#;7
13;13013;ADEMIR VOLPATO GESSER;VEREADOR;APTO;DEFERIDO;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;CIDADE PARA TODOS;30
13;13611;ADENIVAL ALVES GOMES;VEREADOR;APTO;DEFERIDO;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;CIDADE PARA TODOS;101
13;40609;ADAO RODRIGUES VIEIRA;VEREADOR;APTO;DEFERIDO;SUPLENTE;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO#;1
13;13456;AFONSO MAZUR;VEREADOR;APTO;DEFERIDO;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;CIDADE PARA TODOS;10
13;25300;AGOSTINHO CREPLIVE FILHO;VEREADOR;APTO;DEFERIDO;SUPLENTE;25;DEM;DEMOCRATAS;#NULO#;339
13;23444;AGOSTINHO LOPES SANTANA;VEREADOR;APTO;DEFERIDO;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;VOTO LIMPO;3
13;43188;AIRTON SPECK;VEREADOR;APTO;DEFERIDO;SUPLENTE;43;PV;PARTIDO VERDE;#NULO#;4
13;43333;ALADIM LUCIANO;VEREADOR;APTO;DEFERIDO;ELEITO;43;PV;PARTIDO VERDE;#NULO#;782
13;31333;ALCEU BAPTISTA DE CAMPOS;VEREADOR;APTO;DEFERIDO;SUPLENTE;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;CIDADE PARA TODOS;13
13;23007;ALCIMAR CICERO ARRUDA;VEREADOR;APTO;DEFERIDO;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;VOTO LIMPO;23
13;17025;ALCIONE CARATCHUK;VEREADOR;APTO;DEFERIDO;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;#NULO#;4
13;11234;ALDEMIR JOAO MANFRON;VEREADOR;APTO;DEFERIDO;ELEITO;11;PP;PARTIDO PROGRESSISTA;#NULO#;421
13;12999;JOSÉ DE ALENCAR SOARES;VEREADOR;APTO;DEFERIDO;SUPLENTE;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;COLIGAÇÃO PDT - PTN;19
13;13513;ALESSANDRO ADELINO OTTO;VEREADOR;APTO;DEFERIDO;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;CIDADE PARA TODOS;14
13;17555;ALEX GOMES DE OLIVEIRA;VEREADOR;APTO;DEFERIDO;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;#NULO#;12
13;23033;ALEX WINGERT CORREA;VEREADOR;APTO;DEFERIDO;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;VOTO LIMPO;166
13;10100;ALEXANDRE RIBEIRO DOMINGUES;VEREADOR;APTO;DEFERIDO;SUPLENTE;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;CURITIBA MAIS JUSTA PARA TODOS;8
13;14141;ALFREDO GONEVINO COSTA FILHO;VEREADOR;APTO;DEFERIDO;NÃO ELEITO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;UMA SÓ CURITIBA;2
13;15140;ALGACI ORMARIO TULIO;VEREADOR;APTO;DEFERIDO;ELEITO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NULO#;678
13;17190;ALGACIR MILTON OZIR RIBEIRO;VEREADOR;APTO;DEFERIDO;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;#NULO#;8
13;23369;JORANDIR FERREIRA;VEREADOR;APTO;DEFERIDO;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;VOTO LIMPO;11
13;23315;ALTAIR DEZONET ATHAYDE;VEREADOR;APTO;DEFERIDO;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;VOTO LIMPO;20
13;33221;ALTAMIR MARTINS ALVES;VEREADOR;APTO;DEFERIDO;NÃO ELEITO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;#NULO#;1
13;11211;ALUS NATAL ALESSI;VEREADOR;APTO;DEFERIDO;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;#NULO#;91
13;12292;ALVARO JOSÉ BATISTA;VEREADOR;APTO;DEFERIDO;SUPLENTE;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;COLIGAÇÃO PDT - PTN;1
13;43999;ÁLVARO LIBER TORRES DE CAMPOS;VEREADOR;APTO;DEFERIDO;SUPLENTE;43;PV;PARTIDO VERDE;#NULO#;10
13;15202;ALZIMARA CABREIRA FRAGA BACELLAR;VEREADOR;APTO;DEFERIDO;SUPLENTE;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NULO#;203
13;23045;AMABILON DALCOMUNI;VEREADOR;APTO;DEFERIDO;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;VOTO LIMPO;18
