NUMERO_ZONA;CODIGO_CARGO;DESCRICAO_CARGO;QTD_APTOS;QTD_SECOES;QTD_SECOES_AGREGADAS;QTD_APTOS_TOT;QTD_SECOES_TOT;QTD_COMPARECIMENTO;QTD_ABSTENCOES;QTD_VOTOS_NOMINAIS;QTD_VOTOS_BRANCOS;QTD_VOTOS_NULOS;QTD_VOTOS_LEGENDA;QTD_VOTOS_ANULADOS_APU_SEP;DATA_ULT_TOTALIZACAO;HORA_ULT_TOTALIZACAO
3;11;PREFEITO;153690;485;0;153690;485;140111;13579;128104;4583;7424;0;0;23/05/2014;12:44:27
178;13;VEREADOR;73369;297;0;73369;297;65355;8014;50549;5198;4855;4753;0;23/05/2014;12:44:27
145;13;VEREADOR;160730;492;0;160730;492;147925;12805;112966;14437;7970;12552;0;23/05/2014;12:44:27
2;13;VEREADOR;118050;387;0;118050;387;107081;10969;84137;8136;7278;7530;0;23/05/2014;12:44:27
178;11;PREFEITO;73369;297;0;73369;297;64436;8933;59361;1690;3385;0;0;04/06/2013;17:28:31
175;11;PREFEITO;131717;419;0;131717;419;119287;12430;113329;2516;3442;0;0;04/06/2013;17:28:31
1;11;PREFEITO;108398;360;0;108398;360;98591;9807;90275;3001;5315;0;0;23/05/2014;12:44:27
177;11;PREFEITO;116579;372;19;116579;372;103469;13110;95535;2831;5103;0;0;23/05/2014;12:44:27
1;11;PREFEITO;108398;360;0;108398;360;97527;10871;90258;2396;4873;0;0;04/06/2013;17:28:31
174;11;PREFEITO;107248;372;0;107248;372;96792;10456;90580;2379;3833;0;0;04/06/2013;17:28:31
2;11;PREFEITO;118050;387;0;118050;387;107081;10969;98007;3235;5839;0;0;23/05/2014;12:44:27
177;13;VEREADOR;116579;372;19;116579;372;103469;13110;80838;8255;7488;6888;0;23/05/2014;12:44:27
1;13;VEREADOR;108398;360;0;108398;360;98591;9807;75781;7960;7391;7459;0;23/05/2014;12:44:27
3;13;VEREADOR;153690;485;0;153690;485;140111;13579;110113;11191;8393;10414;0;23/05/2014;12:44:27
2;11;PREFEITO;118050;387;0;118050;387;105672;12378;97857;2752;5063;0;0;04/06/2013;17:28:31
3;11;PREFEITO;153690;485;0;153690;485;138550;15140;129463;3353;5734;0;0;04/06/2013;17:28:31
178;11;PREFEITO;73369;297;0;73369;297;65355;8014;59711;1975;3669;0;0;23/05/2014;12:44:27
175;11;PREFEITO;131717;419;0;131717;419;120704;11013;110682;4406;5616;0;0;23/05/2014;12:44:27
174;11;PREFEITO;107248;372;0;107248;372;97794;9454;89266;3300;5228;0;0;23/05/2014;12:44:27
176;11;PREFEITO;84619;293;1;84619;293;76355;8264;71266;1874;3215;0;0;04/06/2013;17:28:31
4;11;PREFEITO;118539;391;0;118539;391;107135;11404;100111;2482;4542;0;0;04/06/2013;17:28:31
176;11;PREFEITO;84619;293;1;84619;293;77091;7528;69939;2678;4474;0;0;23/05/2014;12:44:27
177;11;PREFEITO;116579;372;19;116579;372;102284;14295;94088;2889;5307;0;0;04/06/2013;17:28:31
4;11;PREFEITO;118539;391;0;118539;391;108159;10380;99108;3445;5606;0;0;23/05/2014;12:44:27
176;13;VEREADOR;84619;293;1;84619;293;77091;7528;59972;6354;4789;5976;0;23/05/2014;12:44:27
174;13;VEREADOR;107248;372;0;107248;372;97794;9454;74522;8993;6108;8171;0;23/05/2014;12:44:27
4;13;VEREADOR;118539;391;0;118539;391;108159;10380;84120;8946;6819;8274;0;23/05/2014;12:44:27
175;13;VEREADOR;131717;419;0;131717;419;120704;11013;96000;10087;5105;9512;0;23/05/2014;12:44:27
145;11;PREFEITO;160730;492;0;160730;492;146545;14185;138370;3205;4970;0;0;04/06/2013;17:28:31
145;11;PREFEITO;160730;492;0;160730;492;147925;12805;134555;5503;7867;0;0;23/05/2014;12:44:27
