NUMERO_ZONA;CODIGO_CARGO;NUMERO_CAND;SQ_CANDIDATO;NOME_CANDIDATO;NOME_URNA_CANDIDATO;DESCRICAO_CARGO;COD_SIT_CAND_SUPERIOR;DESC_SIT_CAND_SUPERIOR;CODIGO_SIT_CANDIDATO;DESC_SIT_CANDIDATO;CODIGO_SIT_CAND_TOT;DESC_SIT_CAND_TOT;NUMERO_PARTIDO;SIGLA_PARTIDO;NOME_PARTIDO;SEQUENCIAL_LEGENDA;NOME_COLIGACAO;COMPOSICAO_LEGENDA;TOTAL_VOTOS
4;13;27040;1,6E+11;JAIRO MOREIRA JUNIOR;JAIRO MOREIRA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;348
145;13;27777;1,6E+11;SEBASTIÃO VANDERLEY VIEIRA;WANDERLEY VIEIRA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;563
174;13;44844;1,6E+11;SIDENEI HORTA RIBAS;SIDNEY HORTA;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PRP;6
175;13;44844;1,6E+11;SIDENEI HORTA RIBAS;SIDNEY HORTA;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PRP;5
174;13;22999;1,6E+11;BRUNO GUERRA ROMÃO;BRUNO GUERRA;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;41
176;13;22999;1,6E+11;BRUNO GUERRA ROMÃO;BRUNO GUERRA;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;33
178;13;22505;1,6E+11;EVANDRO PEREZ;PROFESSOR EVANDRO PEREZ;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;5
1;13;50123;1,6E+11;THIAGO DE SOUSA BAGATIN;THIAGO BAGATIN;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;1,6E+11;PARTIDO ISOLADO;PSOL;62
178;13;20999;1,6E+11;AFONSO BERNARDO SCHLEDER DE MACEDO;AFONSO MACEDO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;56
145;13;17005;1,6E+11;DIRCE SENTER;DIRCE REIS;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;1,6E+11;PARTIDO ISOLADO;PSL;23
1;13;44000;1,6E+11;JOSÉ RIBEIRO DE LIMA;ZÉ RIBEIRO;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PRP;14
175;13;20919;1,6E+11;MARIA ROSA DOS SANTOS ARAUJO;MARIA ROSA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;32
1;13;20130;1,6E+11;BRUNO EDUARDO FISCHER PESSUTI;BRUNO PESSUTI;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;758
