NM_UE;NR_CANDIDATO;NM_CANDIDATO;DS_SITUACAO_CANDIDATURA;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;DS_SIT_TOT_TURNO
CURITIBA;43703;PEDRO LAZINA BACIL;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;18/04/1962 00:00;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;EMPRESÁRIO;SUPLENTE
CURITIBA;11555;MARIA SILVANI ARAUJO GONÇALVES;APTO;DEFERIDO;COLIGAÇÃO;11;PP;PARTIDO PROGRESSISTA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;03/01/1958 00:00;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;28000;AMAURI DE JESUS PEREIRA;INAPTO;INDEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;05/04/1963 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;MILITAR REFORMADO;NÃO ELEITO
CURITIBA;27999;ARI BECKER;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;23/04/1959 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;PROTÉTICO;SUPLENTE
CURITIBA;14190;JOAO FLAUSINO DIAS;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;28/06/1952 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);PARDA;EMPRESÁRIO;SUPLENTE
CURITIBA;27600;ALBERTINO MARTINS FERREIRA;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;14/08/1955 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SUPLENTE
CURITIBA;30003;RAPHAEL RODRIGUES DOS SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;PARTIDO ISOLADO;NOVO;17/02/1974 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;NÃO ELEITO
CURITIBA;17700;EDVILSON DIAS DO NASCIMENTO;APTO;DEFERIDO;PARTIDO ISOLADO;17;PSL;PARTIDO SOCIAL LIBERAL;PARTIDO ISOLADO;PSL;18/09/1967 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);NÃO ELEITO
CURITIBA;18018;VINICIUS DOS PASSOS;APTO;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;16/02/1989 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;43456;MARIANA PAULO DA SILVEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;15/08/1976 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;SUPLENTE
