"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74691";"CAMBARÁ";"74691";"CAMBARÁ";"25";"13";"Vereador";"18666";"57";"0";"18666";"57";"14959";"3707";"N";"12833";"451";"745";"930";"0";"0";"17:39:40";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76996";"MATELÂNDIA";"76996";"MATELÂNDIA";"118";"11";"Prefeito";"13021";"37";"0";"13021";"37";"10600";"2421";"N";"10014";"234";"352";"0";"0";"0";"17:53:50";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76651";"LOBATO";"76651";"LOBATO";"150";"11";"Prefeito";"3883";"13";"0";"3883";"13";"3486";"397";"N";"3383";"23";"80";"0";"0";"0";"17:39:42";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75850";"GUARAQUEÇABA";"75850";"GUARAQUEÇABA";"6";"11";"Prefeito";"7539";"25";"2";"7539";"25";"6439";"1100";"N";"2932";"73";"154";"0";"0";"3280";"19:11:38";"10/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"77631";"PINHALÃO";"77631";"PINHALÃO";"19";"11";"Prefeito";"5688";"18";"0";"5688";"18";"4861";"827";"N";"4691";"28";"142";"0";"0";"0";"17:33:40";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76457";"JARDIM OLINDA";"76457";"JARDIM OLINDA";"91";"11";"Prefeito";"1417";"5";"0";"1417";"5";"1247";"170";"N";"1221";"3";"23";"0";"0";"0";"17:17:01";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"79812";"BOA VISTA DA APARECIDA";"79812";"BOA VISTA DA APARECIDA";"165";"11";"Prefeito";"6963";"21";"8";"6963";"21";"6002";"961";"N";"5748";"61";"193";"0";"0";"0";"17:32:42";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74047";"LINDOESTE";"74047";"LINDOESTE";"143";"13";"Vereador";"4341";"15";"0";"4341";"15";"4108";"233";"N";"3852";"46";"36";"174";"0";"0";"14:30:25";"11/11/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78930";"SÃO PEDRO DO PARANÁ";"78930";"SÃO PEDRO DO PARANÁ";"85";"13";"Vereador";"2438";"9";"0";"2438";"9";"2159";"279";"N";"1973";"32";"61";"93";"0";"0";"17:17:37";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75990";"INÁCIO MARTINS";"75990";"INÁCIO MARTINS";"34";"13";"Vereador";"8211";"38";"1";"8211";"38";"7254";"957";"N";"6548";"106";"145";"455";"0";"0";"20:32:13";"02/10/2016"
