"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"AL";"Prefeito";"45";"RUI SOARES PALMEIRA";"RUI PALMEIRA";"PSDB";"PSDB / PP / PR / PPS / PDT / DEM / PROS";"2";"Eleito";"241977";"0";"401519";"60,27";"30/10/2016 19:56:21"
"AL";"Prefeito";"15";"JOSE CICERO SOARES DE ALMEIDA";"CICERO ALMEIDA";"PMDB";"PMDB / PT do B / PHS / PV / PSC / PRB / PSD / PTB / PTN / PRTB / PC do B / SD";"2";"Não eleito";"159542";"0";"401519";"39,73";"30/10/2016 19:56:21"
"AM";"Prefeito";"45";"ARTHUR VIRGILIO DO CARMO RIBEIRO NETO";"ARTUR NETO";"PSDB";"PSL / PP / PMDB / PTN / PHS / PSDB / PV / PPL / PTB / PRP";"2";"Eleito";"581777";"0";"1039586";"55,96";"30/10/2016 18:22:49"
"AM";"Prefeito";"22";"MARCELO RAMOS RODRIGUES";"MARCELO RAMOS";"PR";"PR / PT do B / PTC / PEN / PSD / PROS / DEM";"2";"Não eleito";"457809";"0";"1039586";"44,04";"30/10/2016 18:22:49"
"AP";"Prefeito";"18";"CLÉCIO LUÍS VILHENA VIEIRA";"CLÉCIO";"REDE";"REDE / DEM / PPL / PSC / PT do B / PSDB / PC do B";"2";"Eleito";"123808";"0";"204648";"60,5";"30/10/2016 19:27:18"
"AP";"Prefeito";"15";"GILVAM PINHEIRO BORGES";"GILVAM BORGES";"PMDB";"PMDB / PROS / PDT / PPS / PTN / PSD / SD";"2";"Não eleito";"80840";"0";"204648";"39,5";"30/10/2016 19:27:18"
"BA";"Prefeito";"15";"HERZEM GUSMÃO PEREIRA";"HERZEM GUSMÃO";"PMDB";"PRB / PSC / PMB / PPL / PMDB / PPS / PTB / PSDC";"2";"Eleito";"95710";"0";"166223";"57,58";"30/10/2016 19:51:58"
"BA";"Prefeito";"13";"JOSE RAIMUNDO FONTES";"ZÉ RAIMUNDO";"PT";"PT / PP / PSL / PR / PSD";"2";"Não eleito";"70513";"0";"166223";"42,42";"30/10/2016 19:51:58"
"CE";"Prefeito";"12";"ROBERTO CLAUDIO RODRIGUES BEZERRA";"ROBERTO CLAUDIO";"PDT";"PDT / PP / DEM / PEN / PSC / PSDC / PRTB / PTC / PPS / PTN / PPL / PSL / PV / PTB / PSD / PROS / PMB / PC do B";"2";"Eleito";"678847";"0";"1416203";"47,93";"30/10/2016 19:07:27"
"CE";"Prefeito";"22";"WAGNER SOUSA GOMES";"CAPITÃO WAGNER";"PR";"PMDB / PR / PSDB / SD";"2";"Não eleito";"588451";"0";"1416203";"41,55";"30/10/2016 19:07:27"
"CE";"Prefeito";"35";"NAUMI GOMES DE AMORIM";"NAUMI AMORIM";"PMB";"PMB / PSDC / PTB / PC do B / PMDB / PRP / PPL / PMN / PT / PDT / PV / PSD / PHS / SD";"2";"Eleito";"80756";"0";"1416203";"5,7";"30/10/2016 19:24:59"
"CE";"Prefeito";"45";"EDUARDO DE CASTRO PESSOA DE LIMA";"EDUARDO PESSOA";"PSDB";"PSL / PSC / DEM / PPS / PR / PSDB / PT do B";"2";"Não eleito";"68149";"0";"1416203";"4,81";"30/10/2016 19:24:59"
"ES";"Prefeito";"45";"MAX FREITAS MAURO FILHO";"MAX FILHO";"PSDB";"PSDB / PR";"2";"Eleito";"119872";"0";"783867";"15,29";"30/10/2016 17:58:32"
"ES";"Prefeito";"18";"AUDIFAX CHARLES PIMENTEL BARCELOS";"AUDIFAX";"REDE";"REDE / PMDB / PTC / PSDC / PC do B / PHS / PTN / PV / PPS / PSB / PP";"2";"Eleito";"112344";"0";"783867";"14,33";"30/10/2016 18:18:05"
"ES";"Prefeito";"12";"ANTONIO SERGIO ALVES VIDIGAL";"SERGIO  VIDIGAL";"PDT";"PDT / PTB / PRB / PSL / PSC / DEM / PMN / PRP / PSDB / PEN / PSD / PT do B / SD / PROS";"2";"Não eleito";"107050";"0";"783867";"13,66";"30/10/2016 18:18:05"
"ES";"Prefeito";"23";"LUCIANO SANTOS REZENDE";"LUCIANO";"PPS";"PPS / PSDC / PC do B / REDE / PHS / PP / PV / PSB / PROS / PRB / PPL / PEN";"2";"Eleito";"95458";"0";"783867";"12,18";"30/10/2016 17:52:00"
"ES";"Prefeito";"23";"GERALDO LUZIA DE OLIVEIRA JUNIOR";"JUNINHO";"PPS";"PPS / PSDB / PMN / PR / PHS / PP / PDT / PRTB / PROS / PMB / PV / PEN / PSD / SD";"2";"Eleito";"91631";"0";"783867";"11,69";"30/10/2016 18:16:01"
"ES";"Prefeito";"77";"AMARO ROCHA NASCIMENTO NETO";"AMARO NETO";"SD";"SD / PDT / DEM / PRTB / PSD / PMB / PTC / PR / PTN / PT do B";"2";"Não eleito";"91034";"0";"783867";"11,61";"30/10/2016 17:52:00"
"ES";"Prefeito";"55";"NEUCIMAR FERREIRA FRAGA";"NEUCIMAR FRAGA";"PSD";"PSD / PV / PROS / PT do B / PHS / PMN / PSC / PC do B / PP";"2";"Não eleito";"83622";"0";"783867";"10,67";"30/10/2016 17:58:32"
