NUM_TURNO;NUM_ZONA;NUM_SECAO;DESCRICAO_CARGO;NUM_VOTAVEL;QTDE_VOTOS
2;177;39;PREFEITO;95;11
2;177;39;PREFEITO;96;14
2;177;40;PREFEITO;12;194
2;177;40;PREFEITO;20;60
2;177;40;PREFEITO;95;4
2;177;40;PREFEITO;96;17
2;177;41;PREFEITO;12;135
2;177;41;PREFEITO;20;37
2;177;41;PREFEITO;95;5
2;177;41;PREFEITO;96;7
2;177;42;PREFEITO;12;235
2;177;42;PREFEITO;20;62
2;177;42;PREFEITO;95;10
2;177;42;PREFEITO;96;20
2;177;43;PREFEITO;12;223
2;177;43;PREFEITO;20;70
2;177;43;PREFEITO;95;10
2;177;43;PREFEITO;96;11
2;177;44;PREFEITO;12;224
2;177;44;PREFEITO;20;64
2;177;44;PREFEITO;95;8
2;177;44;PREFEITO;96;14
2;177;45;PREFEITO;12;194
2;177;45;PREFEITO;20;72
2;177;45;PREFEITO;96;15
2;177;46;PREFEITO;12;179
2;177;46;PREFEITO;20;72
2;177;46;PREFEITO;95;6
2;177;46;PREFEITO;96;17
2;177;47;PREFEITO;12;136
2;177;47;PREFEITO;20;51
2;177;47;PREFEITO;95;2
2;177;47;PREFEITO;96;9
2;177;48;PREFEITO;12;186
2;177;48;PREFEITO;20;74
2;177;48;PREFEITO;95;7
2;177;48;PREFEITO;96;20
2;177;49;PREFEITO;12;131
2;177;49;PREFEITO;20;49
2;177;49;PREFEITO;95;8
2;177;49;PREFEITO;96;14
2;177;50;PREFEITO;12;203
2;177;50;PREFEITO;20;69
2;177;50;PREFEITO;95;11
2;177;50;PREFEITO;96;19
2;177;51;PREFEITO;12;127
2;177;51;PREFEITO;20;75
2;177;51;PREFEITO;95;6
2;177;51;PREFEITO;96;14
2;177;52;PREFEITO;12;155
2;177;52;PREFEITO;20;91
2;177;52;PREFEITO;95;6
2;177;52;PREFEITO;96;8
2;177;53;PREFEITO;12;205
2;177;53;PREFEITO;20;103
2;177;53;PREFEITO;95;4
2;177;53;PREFEITO;96;13
2;177;54;PREFEITO;12;185
2;177;54;PREFEITO;20;109
2;177;54;PREFEITO;95;8
2;177;54;PREFEITO;96;15
2;177;55;PREFEITO;12;137
2;177;55;PREFEITO;20;72
2;177;55;PREFEITO;95;5
2;177;55;PREFEITO;96;11
2;177;56;PREFEITO;12;126
2;177;56;PREFEITO;20;63
2;177;56;PREFEITO;95;4
2;177;56;PREFEITO;96;17
2;177;57;PREFEITO;12;202
2;177;57;PREFEITO;20;103
2;177;57;PREFEITO;95;7
2;177;57;PREFEITO;96;14
2;177;58;PREFEITO;12;108
2;177;58;PREFEITO;20;86
2;177;58;PREFEITO;95;7
2;177;58;PREFEITO;96;6
2;177;59;PREFEITO;12;167
2;177;59;PREFEITO;20;87
2;177;59;PREFEITO;95;7
2;177;59;PREFEITO;96;4
2;177;60;PREFEITO;12;149
2;177;60;PREFEITO;20;91
2;177;60;PREFEITO;95;11
2;177;60;PREFEITO;96;10
2;177;61;PREFEITO;12;143
2;177;61;PREFEITO;20;137
2;177;61;PREFEITO;95;5
2;177;61;PREFEITO;96;15
2;177;62;PREFEITO;12;141
2;177;62;PREFEITO;20;145
2;177;62;PREFEITO;95;11
2;177;62;PREFEITO;96;13
2;177;63;PREFEITO;12;152
2;177;63;PREFEITO;20;143
2;177;63;PREFEITO;95;5
2;177;63;PREFEITO;96;12
2;177;64;PREFEITO;12;141
2;177;64;PREFEITO;20;143
2;177;64;PREFEITO;95;12
2;177;64;PREFEITO;96;12
2;177;65;PREFEITO;12;163
2;177;65;PREFEITO;20;115
2;177;65;PREFEITO;95;7
2;177;65;PREFEITO;96;12
2;177;66;PREFEITO;12;156
2;177;66;PREFEITO;20;119
2;177;66;PREFEITO;95;8
2;177;66;PREFEITO;96;14
2;177;67;PREFEITO;12;174
2;177;67;PREFEITO;20;106
2;177;67;PREFEITO;95;1
2;177;67;PREFEITO;96;12
2;177;68;PREFEITO;12;161
2;177;68;PREFEITO;20;111
2;177;68;PREFEITO;95;2
2;177;68;PREFEITO;96;15
2;177;69;PREFEITO;12;154
2;177;69;PREFEITO;20;119
